iter	Passed	Remaining
0	4	4656
1	8	4354
2	12	4038
3	15	3832
4	18	3746
5	21	3623
6	24	3523
7	27	3407
8	30	3366
9	33	3308
10	36	3298
11	39	3274
12	42	3232
13	45	3221
14	48	3203
15	51	3157
16	54	3133
17	57	3118
18	60	3109
19	63	3098
20	66	3091
21	69	3090
22	72	3081
23	75	3073
24	78	3067
25	80	3020
26	84	3033
27	86	3017
28	89	3009
29	92	2991
30	95	2969
31	99	2995
32	102	2996
33	105	2999
34	108	2990
35	111	2978
36	114	2971
37	117	2967
38	120	2966
39	123	2963
40	126	2957
41	128	2941
42	132	2937
43	134	2932
44	137	2919
45	140	2916
46	143	2904
47	145	2890
48	148	2887
49	151	2877
50	154	2872
51	157	2862
52	160	2872
53	163	2858
54	166	2854
55	169	2855
56	172	2854
57	175	2851
58	179	2859
59	181	2846
60	184	2844
61	187	2835
62	190	2826
63	192	2819
64	195	2815
65	198	2812
66	201	2810
67	205	2810
68	208	2816
69	211	2814
70	214	2810
71	217	2805
72	220	2802
73	223	2792
74	226	2790
75	229	2787
76	232	2781
77	235	2781
78	238	2778
79	240	2770
80	244	2768
81	247	2767
82	250	2763
83	253	2766
84	256	2764
85	259	2760
86	262	2759
87	265	2754
88	268	2750
89	271	2749
90	274	2741
91	277	2736
92	280	2733
93	282	2727
94	285	2720
95	288	2716
96	290	2708
97	293	2704
98	296	2699
99	299	2694
100	302	2694
101	305	2688
102	308	2684
103	311	2682
104	313	2675
105	316	2670
106	319	2669
107	323	2668
108	326	2665
109	328	2661
110	331	2655
111	334	2650
112	336	2643
113	339	2641
114	343	2640
115	345	2633
116	348	2628
117	350	2621
118	353	2617
119	356	2615
120	359	2613
121	363	2613
122	366	2609
123	369	2607
124	372	2605
125	375	2606
126	378	2603
127	381	2600
128	384	2596
129	387	2594
130	390	2589
131	393	2589
132	396	2586
133	399	2584
134	403	2582
135	406	2579
136	409	2578
137	411	2572
138	414	2569
139	417	2562
140	420	2562
141	423	2557
142	426	2555
143	430	2558
144	433	2555
145	436	2551
146	438	2546
147	441	2543
148	444	2541
149	448	2539
150	451	2536
151	453	2530
152	456	2528
153	459	2523
154	462	2518
155	465	2516
156	468	2512
157	471	2510
158	474	2509
159	477	2505
160	479	2500
161	482	2496
162	485	2491
163	487	2487
164	491	2486
165	494	2483
166	497	2482
167	501	2484
168	504	2479
169	506	2474
170	509	2471
171	512	2468
172	515	2465
173	518	2460
174	521	2457
175	524	2454
176	527	2451
177	530	2448
178	533	2445
179	536	2444
180	539	2441
181	542	2439
182	545	2436
183	548	2434
184	551	2429
185	553	2424
186	556	2419
187	559	2414
188	561	2409
189	564	2408
190	567	2404
191	570	2402
192	573	2398
193	576	2396
194	580	2394
195	582	2391
196	585	2387
197	588	2384
198	591	2381
199	594	2379
200	597	2376
201	600	2374
202	604	2372
203	607	2369
204	610	2365
205	613	2363
206	615	2358
207	618	2353
208	621	2353
209	625	2351
210	628	2349
211	631	2347
212	634	2345
213	637	2342
214	640	2339
215	643	2336
216	646	2333
217	649	2331
218	652	2327
219	655	2325
220	658	2322
221	661	2318
222	664	2315
223	667	2312
224	670	2309
225	673	2306
226	676	2303
227	679	2301
228	682	2298
229	686	2297
230	689	2294
231	692	2291
232	695	2288
233	697	2283
234	700	2281
235	703	2278
236	706	2275
237	709	2272
238	712	2269
239	715	2264
240	717	2260
241	721	2258
242	723	2254
243	726	2251
244	729	2248
245	732	2246
246	735	2242
247	738	2240
248	741	2237
249	744	2234
250	747	2231
251	750	2227
252	753	2223
253	756	2221
254	759	2219
255	762	2216
256	765	2214
257	769	2212
258	772	2210
259	775	2207
260	778	2204
261	781	2202
262	785	2200
263	788	2198
264	791	2194
265	793	2190
266	796	2187
267	799	2183
268	802	2180
269	806	2179
270	809	2177
271	812	2174
272	815	2170
273	818	2168
274	821	2165
275	824	2162
276	827	2159
277	830	2156
278	833	2153
279	836	2150
280	839	2148
281	843	2146
282	846	2144
283	849	2141
284	852	2138
285	855	2134
286	858	2132
287	861	2128
288	864	2126
289	866	2122
290	869	2119
291	872	2116
292	875	2113
293	879	2110
294	882	2108
295	885	2106
296	888	2101
297	890	2098
298	893	2094
299	896	2091
300	899	2088
301	902	2085
302	904	2081
303	907	2077
304	910	2075
305	913	2072
306	916	2069
307	919	2066
308	922	2063
309	925	2059
310	928	2055
311	930	2051
312	932	2047
313	935	2043
314	938	2040
315	941	2037
316	944	2034
317	947	2032
318	950	2030
319	954	2027
320	957	2024
321	959	2021
322	963	2018
323	966	2016
324	969	2013
325	972	2011
326	975	2008
327	978	2004
328	981	2001
329	984	1998
330	987	1995
331	990	1992
332	993	1990
333	996	1986
334	999	1983
335	1001	1979
336	1004	1976
337	1007	1973
338	1010	1969
339	1013	1966
340	1016	1963
341	1019	1960
342	1022	1957
343	1025	1956
344	1028	1952
345	1032	1950
346	1035	1949
347	1038	1945
348	1041	1942
349	1044	1939
350	1047	1936
351	1049	1932
352	1052	1929
353	1056	1927
354	1059	1924
355	1062	1921
356	1064	1917
357	1067	1915
358	1071	1912
359	1074	1910
360	1077	1907
361	1080	1904
362	1083	1901
363	1087	1900
364	1090	1897
365	1093	1894
366	1096	1890
367	1098	1887
368	1101	1884
369	1104	1880
370	1107	1878
371	1110	1875
372	1114	1872
373	1116	1869
374	1120	1866
375	1123	1863
376	1125	1860
377	1128	1857
378	1131	1854
379	1134	1851
380	1137	1848
381	1140	1845
382	1143	1841
383	1145	1837
384	1148	1834
385	1151	1832
386	1155	1829
387	1158	1826
388	1161	1823
389	1163	1820
390	1166	1816
391	1169	1813
392	1172	1810
393	1175	1807
394	1178	1804
395	1181	1801
396	1184	1798
397	1187	1796
398	1190	1793
399	1194	1791
400	1197	1788
401	1200	1785
402	1202	1781
403	1205	1778
404	1209	1776
405	1211	1772
406	1213	1768
407	1216	1764
408	1218	1761
409	1221	1758
410	1224	1754
411	1227	1751
412	1230	1749
413	1233	1746
414	1236	1743
415	1239	1739
416	1242	1737
417	1245	1733
418	1247	1730
419	1250	1727
420	1253	1724
421	1256	1720
422	1259	1718
423	1261	1714
424	1264	1710
425	1267	1707
426	1270	1704
427	1272	1700
428	1275	1698
429	1279	1695
430	1282	1692
431	1284	1689
432	1287	1686
433	1290	1683
434	1293	1680
435	1296	1677
436	1299	1674
437	1302	1671
438	1305	1667
439	1308	1664
440	1310	1661
441	1313	1658
442	1317	1656
443	1319	1652
444	1322	1649
445	1325	1646
446	1328	1643
447	1331	1640
448	1334	1637
449	1336	1633
450	1339	1630
451	1343	1628
452	1346	1625
453	1349	1622
454	1352	1620
455	1356	1617
456	1359	1614
457	1362	1612
458	1365	1609
459	1368	1606
460	1370	1602
461	1373	1599
462	1376	1596
463	1379	1594
464	1382	1590
465	1385	1587
466	1388	1584
467	1391	1581
468	1394	1579
469	1397	1576
470	1400	1573
471	1403	1570
472	1406	1566
473	1408	1563
474	1411	1560
475	1414	1557
476	1418	1555
477	1421	1552
478	1424	1549
479	1427	1546
480	1430	1543
481	1433	1540
482	1436	1537
483	1439	1534
484	1442	1531
485	1444	1528
486	1447	1524
487	1450	1522
488	1454	1519
489	1457	1516
490	1460	1513
491	1463	1510
492	1465	1507
493	1468	1504
494	1471	1501
495	1473	1497
496	1476	1494
497	1479	1491
498	1482	1488
499	1485	1485
500	1488	1482
501	1491	1479
502	1495	1477
503	1497	1474
504	1500	1470
505	1502	1467
506	1505	1463
507	1508	1460
508	1511	1457
509	1514	1454
510	1517	1451
511	1520	1448
512	1522	1445
513	1525	1442
514	1528	1439
515	1531	1436
516	1536	1435
517	1539	1432
518	1542	1429
519	1545	1426
520	1548	1423
521	1550	1419
522	1553	1417
523	1557	1414
524	1560	1411
525	1562	1408
526	1565	1405
527	1569	1402
528	1572	1400
529	1575	1397
530	1578	1394
531	1581	1391
532	1584	1388
533	1587	1385
534	1590	1382
535	1593	1379
536	1596	1376
537	1599	1373
538	1601	1370
539	1605	1367
540	1607	1364
541	1610	1360
542	1613	1358
543	1616	1354
544	1619	1351
545	1622	1348
546	1625	1346
547	1628	1342
548	1631	1340
549	1633	1336
550	1637	1334
551	1640	1331
552	1643	1328
553	1646	1325
554	1649	1322
555	1652	1319
556	1655	1316
557	1658	1313
558	1661	1310
559	1663	1307
560	1666	1304
561	1669	1301
562	1672	1298
563	1675	1295
564	1678	1292
565	1680	1288
566	1683	1285
567	1686	1282
568	1690	1280
569	1693	1277
570	1696	1274
571	1698	1270
572	1701	1267
573	1704	1264
574	1707	1261
575	1709	1258
576	1712	1255
577	1715	1252
578	1718	1249
579	1721	1246
580	1724	1243
581	1727	1240
582	1730	1237
583	1733	1234
584	1736	1231
585	1739	1228
586	1742	1226
587	1744	1222
588	1748	1219
589	1751	1217
590	1754	1214
591	1757	1211
592	1760	1208
593	1763	1205
594	1766	1202
595	1768	1199
596	1771	1195
597	1773	1192
598	1776	1189
599	1778	1185
600	1781	1182
601	1784	1179
602	1787	1176
603	1790	1173
604	1792	1170
605	1795	1167
606	1798	1164
607	1801	1161
608	1804	1158
609	1807	1155
610	1810	1152
611	1812	1149
612	1815	1146
613	1818	1143
614	1821	1140
615	1824	1137
616	1827	1134
617	1830	1131
618	1833	1128
619	1836	1125
620	1839	1122
621	1843	1120
622	1846	1117
623	1848	1114
624	1851	1110
625	1854	1107
626	1857	1105
627	1859	1101
628	1862	1098
629	1865	1095
630	1868	1092
631	1870	1089
632	1873	1086
633	1876	1083
634	1879	1080
635	1881	1076
636	1884	1073
637	1887	1070
638	1890	1067
639	1892	1064
640	1895	1061
641	1898	1058
642	1900	1055
643	1904	1052
644	1906	1049
645	1909	1046
646	1911	1043
647	1914	1040
648	1918	1037
649	1921	1034
650	1924	1031
651	1926	1028
652	1930	1025
653	1932	1022
654	1936	1019
655	1939	1016
656	1942	1013
657	1945	1011
658	1948	1008
659	1951	1005
660	1955	1002
661	1958	999
662	1961	996
663	1964	994
664	1968	991
665	1971	988
666	1974	985
667	1977	982
668	1980	979
669	1983	976
670	1985	973
671	1988	970
672	1991	967
673	1994	964
674	1997	961
675	2000	958
676	2003	955
677	2006	952
678	2009	949
679	2012	946
680	2015	943
681	2018	941
682	2021	938
683	2024	935
684	2028	932
685	2031	929
686	2034	926
687	2036	923
688	2039	920
689	2042	917
690	2045	914
691	2048	911
692	2051	908
693	2055	906
694	2058	903
695	2061	900
696	2064	897
697	2066	894
698	2069	891
699	2072	888
700	2075	885
701	2078	882
702	2081	879
703	2084	876
704	2086	873
705	2089	870
706	2092	867
707	2095	864
708	2098	861
709	2101	858
710	2104	855
711	2107	852
712	2110	849
713	2113	846
714	2116	843
715	2119	840
716	2122	837
717	2125	834
718	2128	831
719	2131	828
720	2134	825
721	2137	823
722	2140	820
723	2143	817
724	2147	814
725	2149	811
726	2153	808
727	2155	805
728	2159	802
729	2161	799
730	2164	796
731	2167	793
732	2170	790
733	2173	787
734	2176	784
735	2179	781
736	2182	778
737	2184	775
738	2187	772
739	2190	769
740	2193	766
741	2197	763
742	2199	760
743	2203	758
744	2206	755
745	2209	752
746	2212	749
747	2215	746
748	2217	743
749	2220	740
750	2223	737
751	2226	734
752	2230	731
753	2233	728
754	2236	725
755	2239	722
756	2242	719
757	2245	716
758	2248	713
759	2251	711
760	2254	708
761	2257	705
762	2261	702
763	2264	699
764	2267	696
765	2270	693
766	2273	690
767	2275	687
768	2278	684
769	2281	681
770	2284	678
771	2287	675
772	2290	672
773	2293	669
774	2296	666
775	2299	663
776	2301	660
777	2304	657
778	2307	654
779	2310	651
780	2313	648
781	2316	645
782	2319	642
783	2321	639
784	2324	636
785	2327	633
786	2330	630
787	2334	627
788	2337	625
789	2340	622
790	2343	619
791	2346	616
792	2349	613
793	2352	610
794	2355	607
795	2357	604
796	2361	601
797	2363	598
798	2366	595
799	2369	592
800	2372	589
801	2375	586
802	2378	583
803	2381	580
804	2384	577
805	2387	574
806	2390	571
807	2393	568
808	2396	565
809	2399	562
810	2402	559
811	2406	557
812	2409	554
813	2412	551
814	2414	548
815	2418	545
816	2420	542
817	2424	539
818	2427	536
819	2430	533
820	2433	530
821	2436	527
822	2439	524
823	2441	521
824	2444	518
825	2447	515
826	2450	512
827	2453	509
828	2456	506
829	2459	503
830	2462	500
831	2465	497
832	2468	494
833	2471	491
834	2474	488
835	2477	485
836	2480	483
837	2482	479
838	2485	477
839	2488	473
840	2491	471
841	2494	468
842	2497	465
843	2500	462
844	2503	459
845	2506	456
846	2509	453
847	2512	450
848	2514	447
849	2517	444
850	2520	441
851	2523	438
852	2526	435
853	2528	432
854	2532	429
855	2534	426
856	2538	423
857	2540	420
858	2543	417
859	2546	414
860	2550	411
861	2552	408
862	2555	405
863	2559	402
864	2562	399
865	2564	396
866	2568	393
867	2571	390
868	2573	387
869	2576	384
870	2579	382
871	2582	379
872	2585	376
873	2587	373
874	2590	370
875	2593	367
876	2596	364
877	2599	361
878	2602	358
879	2605	355
880	2608	352
881	2611	349
882	2614	346
883	2618	343
884	2620	340
885	2624	337
886	2627	334
887	2630	331
888	2632	328
889	2635	325
890	2638	322
891	2641	319
892	2644	316
893	2647	313
894	2650	310
895	2653	307
896	2655	304
897	2659	302
898	2662	299
899	2665	296
900	2668	293
901	2670	290
902	2673	287
903	2676	284
904	2679	281
905	2682	278
906	2685	275
907	2689	272
908	2691	269
909	2694	266
910	2697	263
911	2700	260
912	2702	257
913	2705	254
914	2708	251
915	2711	248
916	2714	245
917	2717	242
918	2723	240
919	2725	237
920	2729	234
921	2734	231
922	2737	228
923	2740	225
924	2744	222
925	2747	219
926	2749	216
927	2752	213
928	2756	210
929	2759	207
930	2762	204
931	2765	201
932	2767	198
933	2770	195
934	2773	192
935	2776	189
936	2779	186
937	2782	183
938	2785	180
939	2788	177
940	2790	174
941	2793	172
942	2796	169
943	2800	166
944	2803	163
945	2806	160
946	2808	157
947	2811	154
948	2814	151
949	2817	148
950	2820	145
951	2823	142
952	2826	139
953	2829	136
954	2832	133
955	2834	130
956	2837	127
957	2840	124
958	2843	121
959	2846	118
960	2849	115
961	2851	112
962	2854	109
963	2857	106
964	2861	103
965	2863	100
966	2866	97
967	2869	94
968	2871	91
969	2875	88
970	2878	85
971	2881	82
972	2883	80
973	2886	77
974	2889	74
975	2892	71
976	2894	68
977	2898	65
978	2901	62
979	2904	59
980	2906	56
981	2909	53
982	2912	50
983	2916	47
984	2918	44
985	2922	41
986	2925	38
987	2928	35
988	2931	32
989	2934	29
990	2937	26
991	2940	23
992	2943	20
993	2946	17
994	2950	14
995	2952	11
996	2955	8
997	2958	5
998	2961	2
999	2964	0
