date,home_team,away_team,team,scorer,assist,minute,own_goal,penalty
13-07-1930,France,Mexico,France,Lucien Laurent,,19,FALSE,FALSE
13-07-1930,France,Mexico,France,Marcel Langiller,,40,FALSE,FALSE
13-07-1930,France,Mexico,France,André Maschinot,,43,FALSE,FALSE
13-07-1930,France,Mexico,Mexico,Juan Carreño,,70,FALSE,FALSE
13-07-1930,France,Mexico,France,André Maschinot,,87,FALSE,FALSE
13-07-1930,United States,Belgium,United States,Bart McGhee,,23,FALSE,FALSE
13-07-1930,United States,Belgium,United States,Tom Florie,,45,FALSE,FALSE
13-07-1930,United States,Belgium,United States,Bert Patenaude,,69,FALSE,FALSE
14-07-1930,Yugoslavia,Brazil,Yugoslavia,Aleksandar Tirnanić,,21,FALSE,FALSE
14-07-1930,Yugoslavia,Brazil,Yugoslavia,Ivan Bek,,30,FALSE,FALSE
14-07-1930,Yugoslavia,Brazil,Brazil,not applicable Preguinho,,62,FALSE,FALSE
14-07-1930,Romania,Peru,Romania,Adalbert Deşu,,1,FALSE,FALSE
14-07-1930,Romania,Peru,Peru,Luis Souza Ferreira,,75,FALSE,FALSE
14-07-1930,Romania,Peru,Romania,Constantin Stanciu,,79,FALSE,FALSE
14-07-1930,Romania,Peru,Romania,Miklós Kovács,,89,FALSE,FALSE
15-07-1930,Argentina,France,Argentina,Luis Monti,,81,FALSE,FALSE
16-07-1930,Chile,Mexico,Chile,Carlos Vidal,,3,FALSE,FALSE
16-07-1930,Chile,Mexico,Chile,Manuel Rosas,,52,TRUE,FALSE
16-07-1930,Chile,Mexico,Chile,Carlos Vidal,,65,FALSE,FALSE
17-07-1930,Yugoslavia,Bolivia,Yugoslavia,Ivan Bek,,60,FALSE,FALSE
17-07-1930,Yugoslavia,Bolivia,Yugoslavia,Blagoje Marjanović,,65,FALSE,FALSE
17-07-1930,Yugoslavia,Bolivia,Yugoslavia,Ivan Bek,,67,FALSE,FALSE
17-07-1930,Yugoslavia,Bolivia,Yugoslavia,Đorđe Vujadinović,,85,FALSE,FALSE
17-07-1930,United States,Paraguay,United States,Bert Patenaude,,10,FALSE,FALSE
17-07-1930,United States,Paraguay,United States,Bert Patenaude,,15,FALSE,FALSE
17-07-1930,United States,Paraguay,United States,Bert Patenaude,,50,FALSE,FALSE
18-07-1930,Uruguay,Peru,Uruguay,Héctor Castro,,65,FALSE,FALSE
19-07-1930,Chile,France,Chile,Guillermo Subiabre,,67,FALSE,FALSE
19-07-1930,Argentina,Mexico,Argentina,Guillermo Stábile,,8,FALSE,FALSE
19-07-1930,Argentina,Mexico,Argentina,Adolfo Zumelzú,,12,FALSE,FALSE
19-07-1930,Argentina,Mexico,Argentina,Guillermo Stábile,,17,FALSE,FALSE
19-07-1930,Argentina,Mexico,Mexico,Manuel Rosas,,42,FALSE,TRUE
19-07-1930,Argentina,Mexico,Argentina,Francisco Varallo,,53,FALSE,FALSE
19-07-1930,Argentina,Mexico,Argentina,Adolfo Zumelzú,,55,FALSE,FALSE
19-07-1930,Argentina,Mexico,Mexico,Manuel Rosas,,65,FALSE,FALSE
19-07-1930,Argentina,Mexico,Mexico,Roberto Gayón,,75,FALSE,FALSE
19-07-1930,Argentina,Mexico,Argentina,Guillermo Stábile,,80,FALSE,FALSE
20-07-1930,Brazil,Bolivia,Brazil,not applicable Moderato,,37,FALSE,FALSE
20-07-1930,Brazil,Bolivia,Brazil,not applicable Preguinho,,57,FALSE,FALSE
20-07-1930,Brazil,Bolivia,Brazil,not applicable Moderato,,73,FALSE,FALSE
20-07-1930,Brazil,Bolivia,Brazil,not applicable Preguinho,,83,FALSE,FALSE
20-07-1930,Paraguay,Belgium,Paraguay,Luis Vargas Peña,,40,FALSE,FALSE
21-07-1930,Uruguay,Romania,Uruguay,Pablo Dorado,,7,FALSE,FALSE
21-07-1930,Uruguay,Romania,Uruguay,Héctor Scarone,,26,FALSE,FALSE
21-07-1930,Uruguay,Romania,Uruguay,Peregrino Anselmo,,31,FALSE,FALSE
21-07-1930,Uruguay,Romania,Uruguay,Pedro Cea,,35,FALSE,FALSE
22-07-1930,Argentina,Chile,Argentina,Guillermo Stábile,,12,FALSE,FALSE
22-07-1930,Argentina,Chile,Argentina,Guillermo Stábile,,13,FALSE,FALSE
22-07-1930,Argentina,Chile,Chile,Guillermo Subiabre,,15,FALSE,FALSE
22-07-1930,Argentina,Chile,Argentina,Mario Evaristo,,51,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Luis Monti,,20,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Alejandro Scopelli,,56,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Guillermo Stábile,,69,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Carlos Peucelle,,80,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Carlos Peucelle,,85,FALSE,FALSE
26-07-1930,Argentina,United States,Argentina,Guillermo Stábile,,87,FALSE,FALSE
26-07-1930,Argentina,United States,United States,Jim Brown,,89,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Yugoslavia,Đorđe Vujadinović,,4,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Pedro Cea,,18,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Peregrino Anselmo,,20,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Peregrino Anselmo,,31,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Santos Iriarte,,61,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Pedro Cea,,67,FALSE,FALSE
27-07-1930,Uruguay,Yugoslavia,Uruguay,Pedro Cea,,72,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Uruguay,Pablo Dorado,,12,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Argentina,Carlos Peucelle,,20,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Argentina,Guillermo Stábile,,37,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Uruguay,Pedro Cea,,57,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Uruguay,Santos Iriarte,,68,FALSE,FALSE
30-07-1930,Uruguay,Argentina,Uruguay,Héctor Castro,,89,FALSE,FALSE
27-05-1934,Austria,France,France,Jean Nicolas,,18,FALSE,FALSE
27-05-1934,Austria,France,Austria,Matthias Sindelar,,44,FALSE,FALSE
27-05-1934,Austria,France,Austria,Anton Schall,,93,FALSE,FALSE
27-05-1934,Austria,France,Austria,Josef Bican,,109,FALSE,FALSE
27-05-1934,Austria,France,France,Georges Verriest,,116,FALSE,TRUE
27-05-1934,Czechoslovakia,Romania,Romania,Ștefan Dobay,,11,FALSE,FALSE
27-05-1934,Czechoslovakia,Romania,Czechoslovakia,Antonín Puč,,50,FALSE,FALSE
27-05-1934,Czechoslovakia,Romania,Czechoslovakia,Oldřich Nejedlý,,67,FALSE,FALSE
27-05-1934,Germany,Belgium,Germany,Stanislaus Kobierski,,25,FALSE,FALSE
27-05-1934,Germany,Belgium,Belgium,Bernard Voorhoof,,29,FALSE,FALSE
27-05-1934,Germany,Belgium,Belgium,Bernard Voorhoof,,43,FALSE,FALSE
27-05-1934,Germany,Belgium,Germany,Otto Siffling,,49,FALSE,FALSE
27-05-1934,Germany,Belgium,Germany,Edmund Conen,,66,FALSE,FALSE
