date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage_name,knockout_stage,extra_time,penalty_shootout,match_id
13-07-1930,France,Mexico,4,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-01
13-07-1930,United States,Belgium,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-02
14-07-1930,Yugoslavia,Brazil,2,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-03
14-07-1930,Romania,Peru,3,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-04
15-07-1930,Argentina,France,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-05
16-07-1930,Chile,Mexico,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-06
17-07-1930,Yugoslavia,Bolivia,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-07
17-07-1930,United States,Paraguay,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-08
18-07-1930,Uruguay,Peru,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-09
19-07-1930,Chile,France,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-10
19-07-1930,Argentina,Mexico,6,3,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-11
20-07-1930,Brazil,Bolivia,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-12
20-07-1930,Paraguay,Belgium,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-13
21-07-1930,Uruguay,Romania,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,TRUE,group stage,0,0,0,M-1930-14
